,Start date,Sleep quality,Drank coffee,Drank tea,Worked out,Stressful day,Sleep cycle,Sleep cycle offset,Start time
125,2015-08-26,90,True,False,False,True,5,60,1
126,2015-08-27,93,False,False,False,False,5,56,1
127,2015-08-28,85,True,True,False,False,5,29,2
128,2015-08-30,84,True,False,False,False,5,30,2
129,2015-08-31,77,True,False,False,False,5,16,2
130,2015-09-01,85,False,True,False,False,5,29,2
131,2015-09-02,77,True,False,False,False,5,3,4
132,2015-09-05,87,True,False,False,False,5,34,3
133,2015-09-07,84,True,True,False,False,4,87,3
134,2015-09-08,86,False,True,True,False,5,31,2
135,2015-09-09,83,True,True,True,False,4,89,3
136,2015-09-12,81,True,False,True,False,5,5,4
137,2015-09-13,81,True,False,False,False,5,17,2
138,2015-09-14,83,True,False,True,True,5,26,3
139,2015-09-15,70,True,False,True,False,5,10,2
140,2015-09-16,80,True,True,True,False,5,50,2
141,2015-09-17,60,True,True,True,False,4,82,3
142,2015-09-19,91,True,False,False,False,5,77,2
143,2015-09-20,79,True,True,True,False,5,38,2
144,2015-09-22,81,True,True,True,False,5,71,2
145,2015-09-23,77,True,True,True,False,4,89,2
146,2015-09-24,83,True,True,True,False,4,82,3
147,2015-09-27,82,False,True,False,False,5,32,3
148,2015-09-28,90,False,True,True,False,5,32,1
149,2015-09-29,89,True,True,True,False,4,85,3
150,2015-10-03,69,True,False,True,False,4,77,4
151,2015-10-11,100,True,False,False,True,5,61,4
152,2015-10-12,74,True,True,True,False,5,31,2
153,2015-10-14,68,False,True,True,False,5,10,3
154,2015-10-15,67,True,True,True,False,5,38,2
155,2015-10-18,67,True,False,False,False,5,57,2
156,2015-10-20,88,True,True,False,False,5,72,2
157,2015-10-21,77,True,True,False,False,5,9,3
158,2015-10-22,80,True,True,True,False,5,14,2
159,2015-10-24,77,True,True,True,False,5,10,5
160,2015-10-24,81,True,True,False,False,5,25,3
161,2015-10-27,78,True,False,True,False,5,31,2
162,2015-10-28,83,False,True,True,False,5,21,2
163,2015-10-29,81,False,True,True,False,5,10,3
164,2015-11-02,83,True,True,True,False,5,39,2
165,2015-11-03,75,True,True,True,False,4,83,3
166,2015-11-04,65,True,True,True,False,4,71,3
